Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Unfriendly Fire	SR	SR029_Unfriendly_Fire	D	Battle						R	29	Unfriendly Fire also damages your own units.	Pay 7 Force -> Choose an arena. Unfriendly Fire does 2 damage to each unit in that arena. (This includes your units.)	
Yoda (C)	SR	SR030_Yoda_C	L	Character	Jedi Master	8	40	7	6	R	30	Yoda's first ability only prevents your opponent from using Evade for the effect. Other battle cards and abilities that prevent damage can still be used for units that are not Masters..	[tap], 2 Force pay -> An Opponents unit you choose. In the Character arena it must be. To that Character 4 damage Yoda does. To prevent that damage your opponent Evade cannot use, unless that Character a Jedi Master or Sith Master is. Only when Yoda would attack play. | 2 Force Pay -> Evade 3	
Aiwha Rider	SR	SR031_Aiwha_Rider	N	Ground	Kaminoan Creature Soldier	3	50	2	2	U	31		When you deploy this unit, look at your opponents hand.	
C-3PO (B)	SR	SR032_C-3PO_B	L	Character	Protocol Droid	3	10	2	3	U	32		When C3PO is discarded from the Character arena, draw 2 cards.	
Careful Targeting	SR	SR033_Careful_Targeting	N	Battle						U	33	Text erratum	Pay 1 Force -> Choose a unit. That unit loses Shields until end of battle.	
Clever Escape	SR	SR034_Clever_Escape	N	Battle						U	34		Pay 4 Force -> Untap one of your units with power 5 or less.	
Clone Trooper 6/298	SR	SR035_Clone_Trooper_6_298	L	Character	Clone Soldier	3	60	2	3	U	35			
Darth Maul (B)	SR	SR036_Darth_Maul_B	D	Character	Dark Jedi - Sith Apprentice	7	60	6	4	U	36		Pay 2 force -> Evade 2	
Darth Tyranus (E)	SR	SR037_Darth_Tyranus_E	D	Character	Dark Jedi Master - Sith Lord	6	50	5	5	U	37		Stun 2 | Pay 2 Force -> Evade 2	
Destroyer Droid, W Series	SR	SR038_Destroyer_Droid_W_Series	D	Character	Trade Federation Droid	5	30	4	3	U	38		When the Character battle step starts, if this unit is in the Character arena, choose one- This unit gets +20 speed or this unit gets +2 power until end of battle. | Shields 1	
Female Tusken Raider	SR	SR039_Female_Tusken_Raider	N	Character	Tatooine Tusken Warrior	2	20	2	2	U	39		[tap] -> Remove one damage counter from each of your damaged Tuskens. Play only during your build step.	
Fog of War	SR	SR040_Fog_of_War	N	Mission		3				U	40		For each unit in the Space, Ground, and Character arenas (yours and your opponent's), roll one of your dice. If you roll a 5 or a 6 for a unit, tap it.	
Geonosian Scout	SR	SR041_Geonosian_Scout	D	Character	Geonosian Soldier	4	40	4	3	U	41		Each unit gets -2 power as long as it's attacking this unit and you have another Geonosian in the Character arena.	
Hailfire Droid	SR	SR042_Hailfire_Droid	D	Ground	IG Banking Clan Droid	6	40	5	5	U	42		Stun 3	
Homing Spider Droid	SR	SR043_Homing_Spider_Droid	D	Ground	Commerce Guild Droid	7	40	7	5	U	43		Shields 1	
Infantry Battle Droid	SR	SR044_Infantry_Battle_Droid	D	Character	Trade Federation Droid	4	20	3	2	U	44		When this unit attacks, you may give it +5 power for this attack. If you do, it does 2 damage to itself when the attack ends. When this unit is discarded from the Character arena, draw a card.	
Jedi Heroes	SR	SR045_Jedi_Heroes	L	Ground	Jedi Knight	6	50	6	4	U	45		Pay 2 Force -> Evade 1	
Jedi Starfighter Scout	SR	SR046_Jedi_Starfighter_Scout	L	Space	Jedi Starfighter	4	50	3	3	U	46		Stun 2	
Mace Windu (B)	SR	SR047_Mace_Windu_B	L	Character	Jedi Master	7	60	6	5	U	47		Pay 2 Force -> Evade 2 | Pay 1 Force -> Mace gets +2 power for this attack.	
Moment of Truth	SR	SR048_Moment_of_Truth	L	Battle						U	48		Pay 1 Force -> Prevent 1 damage to one of your units. If Mace Windu is in the Character arena, prevent up to 2 damage to that unit instead.	
Obi-Wan Kenobi (D)	SR	SR049_Obi-Wan_Kenobi_D	L	Character	Jedi Knight	6	60	4	6	U	49		Stun 3 | Pay 2 Force -> Evade 2	
Out of His Misery	SR	SR050_Out_of_His_Misery	L	Battle						U	50		Pay 3 Force -> One of your Jedi gets +20 speed and Stun 4 until end of battle.	
Padme Amidala (E)	SR	SR051_Padme_Amidala_E	L	Character	Naboo Diplomat	5	40	4	4	U	51	Text erratum	As long as Padme is in the Character arena, each Light Side Character costs 1 fewer build counters to deploy.	
Passel Argente (A)	SR	SR052_Passel_Argente_A	D	Character	Corporate Alliance Diplomat	3	10	1	3	U	52		As long as Passel is in the Character arena, each of your other Characters gets +1 power.	
Price of Failure	SR	SR053_Price_of_Failure	D	Mission		2				U	53		You may discard one of your units from any arena. If you do, draw 4 cards, then gain +1 Force.	
R2-D2 (B)	SR	SR054_R2-D2_B	L	Character	Astromech Droid	3	40	1	3	U	54		[tap] -> Remove up to 2 damage counters from one of your Space units. Play only during your build step.	
Recognition of Valor	SR	SR055_Recognition_of_Valor	L	Mission		3				U	55		Count the number of Jedi you have in the Space, Ground, and Character arenas. You gain that much Force.	
Sun Fac (A)	SR	SR056_Sun_Fac_A	D	Character	Geonosian Diplomat	2	40	1	2	U	56		As long as Sun is in the Character arena, each of your other Geonosians get Critical Hit 1.	
Techno Union Warship	SR	SR057_Techno_Union_Warship	D	Space	Techno Union Transport	7	30	3	10	U	57		When this unit attacks, you may give it +5 power for this attack. If you do, it does 2 damage to itself when the attack ends.	
Trade Federation Offensive	SR	SR058_Trade_Federation_Offensive	D	Battle						U	58		Pay 4 Force -> Choose Space or Ground. Each of your units in that arena gets +30 Speed until the end of battle.	
Tusken Raider	SR	SR059_Tusken_Raider	N	Character	Tatooine Tusken Warrior	2	30	1	2	U	59		This unit gets +1 power for each other Tusken in any arena.	
Visit the Lake Retreat	SR	SR060_Visit_the_Lake_Retreat	L	Mission		3				U	60		Remove up to 2 damage counters from one of your Space units. Remove up to 2 damage counters from one of your Ground units. Remove up to 2 damage counters from one of your Character units.	
Acclamator-Class Assault Ship	SR	SR061_Acclamator-Class_Assault_Ship	L	Space	Republic Capital Ship	8	10	8	10	C	61			
Aggressive Negotiations	SR	SR062_Aggressive_Negotiations	N	Battle						C	62		Pay 4 Force -> One of your units gets Critical Hit 3 for this attack.	
Anakin Skywalker (F)	SR	SR063_Anakin_Skywalker_F	L	Character	Jedi Padawan	5	50	5	4	C	63		Stun 2 | Pay 1 Force -> Evade 1	
AT-TE Troop Transport	SR	SR064_AT-TE_Troop_Transport	L	Ground	Republic Assault Walker	5	50	4	4	C	64		Shields 1	
Battle Droid Assault Squad	SR	SR065_Battle_Droid_Assault_Squad	D	Ground	Trade Federation Droid	4	40	4	3	C	65		Critical Hit 1	
Brutal Assault	SR	SR066_Brutal_Assault	N	Battle						C	66		Pay 2 Force -> One of your units gets +5 power for this attack. When the attack ends, that unit does 2 damage to itself.	
Clone Trooper Legion	SR	SR067_Clone_Trooper_Legion	L	Ground	Clone Soldier	7	30	7	7	C	67			
Commerce Guild Cruiser	SR	SR068_Commerce_Guild_Cruiser	D	Space	Commerce Guild Transport	7	40	7	5	C	68		Shields 1	
Commerce Guild Spider Droid	SR	SR069_Commerce_Guild_Spider_Droid	D	Ground	Commerce Guild Droid	3	50	3	2	C	69			
Concentrated Fire	SR	SR070_Concentrated_Fire	N	Mission		2				C	70	If there are no units in the Space arena at the start of the Battle phase, Concentrated Fire does nothing.	When the battle phase starts, choose one of your opponent's units in the Space arena. Concentrated Fire does 4 dice of damage to that unit.	
Coruscant Speeder	SR	SR071_Coruscant_Speeder	N	Ground	Independent Speeder	2	30	2	1	C	71			
Darth Maul (D)	SR	SR072_Darth_Maul_D	D	Character	Dark Jedi - Sith Apprentice	5	50	4	4	C	72		Stun 2 | Pay 1 force -> Evade 1	
Diplomatic Cruiser	SR	SR073_Diplomatic_Cruiser	L	Space	Republic Transport	3	10	2	4	C	73		Critical Hit 1	
Droid Starfighter DFS-1VR	SR	SR074_Droid_Starfighter_DFS-1VR	D	Space	Trade Federation Droid Starfighter	2	50	1	1	C	74		When this unit attacks, you may give it +5 power. If you do, it does 1 damage to itself when the attack ends.	
Geonosian Artillery Battery	SR	SR075_Geonosian_Artillery_Battery	D	Ground	Geonosian Fortification	5	50	5	3	C	75			
Geonosian Defense Fighter	SR	SR076_Geonosian_Defense_Fighter	D	Space	Geonosian Starfighter	3	60	2	3	C	76			
Maul's Strategy	SR	SR077_Maul_s_Strategy	D	Mission		3				C	77		You gain +2 Force. Your opponent loses 2 Force. If Darth Maul is in the Character arena, you gain an extra +1 Force and your opponent loses an extra 1 force.	
Mobile Assault Cannon	SR	SR078_Mobile_Assault_Cannon	L	Ground	Republic Assault Walker	8	30	7	8	C	78		Ion Cannon 2	
Naboo Starfighter Wing	SR	SR079_Naboo_Starfighter_Wing	L	Space	Naboo Squadron	4	40	2	4	C	79		This unit gets +3 power as long as there are no damage counters on it.	
Nubian Yacht	SR	SR080_Nubian_Yacht	L	Space	Naboo Transport	5	40	4	5	C	80			
Padawan and Senator	SR	SR081_Padawan_and_Senator	N	Battle						C	81		Pay 5 Force -> Up to 2 of your units each get +3 Power until end of battle.	
Reassemble C-3PO	SR	SR082_Reassemble_C-3PO	N	Mission		1				C	82		Remove up to 2 damage counters from any one of your units.	
Republic LAAT/i Gunship	SR	SR083_Republic_LAAT_i_Gunship	L	Ground	Republic Gunship	6	50	7	3	C	83			
Retreat Underground	SR	SR084_Retreat_Underground	N	Battle						C	84		Pay 1 Force -> Retreat one of your units. Play only if no unit is attacking.	
Run the Gauntlet	SR	SR085_Run_the_Gauntlet	N	Mission		2				C	85	Your opponent gets the +2 Force after the damage has been done. So he or she can't use that Force to reroll any of the dice or prevent any of the damage.	When the battle phase starts, choose one of your opponent's units in the Ground arena. Run the Gauntlet does 6 dice of damage to that unit. Your opponent gains +2 Force	
Senatorial Cruiser	SR	SR086_Senatorial_Cruiser	L	Space	Naboo Transport	6	40	4	5	C	86		When you deploy this unit, you may return a Starfighter from your discard pile to your hand. | Shields 1	
Shoot Her or Something	SR	SR087_Shoot_Her_or_Something	N	Battle						C	87		Pay 2 Force -> Choose one of more of your opponent's attack dice. Your opponent rerolls those dice.	
Super Battle Droid Squad	SR	SR088_Super_Battle_Droid_Squad	D	Ground	Droid Squad	5	30	5	6	C	88			
Suppressing Fire	SR	SR089_Suppressing_Fire	N	Battle						C	89	Suppressing Fire is only played during the attack POP.	Pay 2 Force -> One of your units using Bombard to attack a Ground unit gets +4 power for this attack.	
Trade Federation Warship	SR	SR090_Trade_Federation_Warship	D	Space	Trade Federation Capital Ship	8	20	8	8	C	90			
Atton Rand (A)	SMUG	SMUG001_Atton_Rand_A	N	Character	Independent Smuggler	7	40	5	5	R	1		When you deploy Atton, choose one: Atton gets the Jedi subtype until end of game. Or: Atton gets the Sith subtype until end of game. | Accuracy 1 | Pay 2 build points -> Move 1 counter from your opponent�s Resource to your Resource. Play only during your build step. | Pay 1 Force -> Evade 1	
Booster Terrik (A)	SMUG	SMUG003_Booster_Terrik_A	N	Character	Corellian Smuggler	5	30	3	5	R	3		Reserves: [TAP] -> Draw 2 cards, then shuffle one of those cards into your deck. Play only during your build step. | Reserves: [TAP] -> Your opponent draws 2 cards and then discards 2 cards at random from his or her hand. Play during your build step.	
Booster Terrik (B)	SMUG	SMUG052_Booster_Terrik_B	N	Character	Corellian Smuggler	5	30	4	4	C	52		[Pilot] Capital Ship Pilot. The Capital Ship gets: * Lucky 2 * When the battle phase starts, you may remove 1 damage counter from one of your Smugglers in any arena.	
Chewbacca (P)	SMUG	SMUG027_Chewbacca_P	N	Character	Independent Wookiee	8	40	7	7	U	27		When the battle phase starts, roll a die. If you roll a 4 or more, you may remove up to 3 damage counters from a Space or Ground unit. | Pay 3 Force -> Retaliate 6 | INSERT: Treat Chewbacca as a Smuggler.	
Col Serra (A)	SMUG	SMUG004_Col_Serra_A	L	Character	Rebel Officer - Smuggler	7	40	5	5	R	4		When you deploy Col, you may search your deck for a Renegade Squadron unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | [Pilot] Squad Pilot. The Squad gets: � +20 speed. � Whenever this unit attacks, roll a die. If you roll a 5 or 6, damage from this unit can�t be prevented for this attack.	
Col Serra (B)	SMUG	SMUG054_Col_Serra_B	N	Character	Independent Smuggler	6	40	5	5	C	54		Accuracy 1 | As long as your opponent has a Bounty Hunter in the Character arena, Col gets +20 speed. | Col gets +2 power when attacking a Bounty Hunter.	
Dash Rendar (D)	SMUG	SMUG029_Dash_Rendar_D	N	Character	Independent Smuggler	5	40	5	5	U	29		Upkeep: Pay 1 build point or tap Dash. | Accuracy 1 | Bounty: You may search your deck for a Transport unit card. If you do, show it to your opponent and put it in your build zone with 3 build counters on it. Shuffle your deck.	
Falcon Bridge Crew (A)	SMUG	SMUG008_Falcon_Bridge_Crew_A	L	Character	Rebel Diplomat - Smuggler - Wookiee	5	30	4	5	R	8		Stack: Chewbacca, Han Solo and any Character with "Leia" in its name.  | [Pilot] Transport Pilot. The Transport gets: - +1 power. - +1 health.  - This unit can't have an extra Pilot. - Pay 2 Force -> Choose another card with a Pilot ability in Falcon Bridge Crew's stack. This unit gets that card�s Pilot abilities until end of turn.	
Gunslinger	SMUG	SMUG060_Gunslinger	N	Character	Independent Smuggler	5	50	2	4	C	60		Critical Hit 1 | Lucky 1 | Double Strike 	
Han Solo (N)	SMUG	SMUG010_Han_Solo_N	N	Character	Independent Smuggler	7	40	5	6	R	10		Accuracy 1 | Lucky 1 | Whenever Han attacks, roll a die. If you roll a 5, Han gets Critical Hit 1 for this attack. If you roll a 6, Han gets Double Strike until the second attack ends.	
Han Solo (O)	SMUG	SMUG061_Han_Solo_O	L	Character	Rebel Smuggler	6	40	4	5	C	61		Transport Pilot. The Transport gets: - +10 speed - Lucky 2 - Once per turn, when this unit is attacked, you may roll a die. If you roll a 5 or 6, disrupt that attack.	
Hylo Visz (A)	SMUG	SMUG011_Hylo_Visz_A	N	Character	Mirialan Independent Smuggler	6	50	5	5	R	11		Accuracy 1 | Bounty: Gain 2 build points. | Whenever Hylo would be damaged by an attacking unit, roll a die. If you roll a 5 or 6, prevent up to 2 of that damage.	
Jabba the Hutt (E)	SMUG	SMUG038_Jabba_the_Hutt_E	N	Character	Tatooine Hutt Crime Lord	6	20	3	6	U	38		INSERT: Each of your Smugglers get +1 power,  �Upkeep: Pay 1 Force or tap this unit." and �Bounty: Gain 2 build points.�	
Lando Calrissian (L)	SMUG	SMUG012_Lando_Calrissian_L	N	Character	Bespin Smuggler - Gambler	7	50	5	5	R	12		Lucky 2 | [tap], Pay 2 build points -> Each player chooses one of his or her units in the Space or Ground arena, shuffles hir os her deck, and reveals its top 5 cards. If a player revealed cards with a higher total build cost, he or she gains control of his or her opponent's chosen unit until end of turn. Each player shuffles his or her revealed cards into his or her deck. Play only if each deck has at least 5 cards in it and only during your build step.	
Leia Organa Solo (N)	SMUG	SMUG014_Leia_Organa_Solo_N	L	Character	New Republic Diplomat	6	40	4	4	R	14		Treat Leia as a Force Sensitive | Stealth | Each of your Smugglers costs 1 less build counter to deploy.	
Leia Organa Solo (O)	SMUG	SMUG062_Leia_Organa_Solo_O	L	Character	Galactic Alliance Jedi Diplomat	5	40	4	4	C	62		When one of your Smugglers is discarded from your hand, any arena, or your build zone, you may draw a card. | INSERT: Treat Leia as a Smuggler.	
Mazzic (A)	SMUG	SMUG015_Mazzic_A	N	Character	Myke Smuggler	6	50	5	5	R	15		Lucky 1 | Pay 1 Force -> Roll a die. If you roll a 4 or more, disrupt an attack against Mazzic and retreat him.	
Roa (A)	SMUG	SMUG066_Roa_A	N	Character	Independent Smuggler	5	40	3	5	C	66		Lucky 2 | [Tap], Pay 1 build point -> Search you deck for a Smuggling card and attach it to one of your non-Smuggler units without paying the build or equip costs. Shuffle your deck. Play only during your build step.	
Talon Karrde (A)	SMUG	SMUG023_Talon_Karrde_A	N	Character	Independent Smuggler - Spy	6	40	2	6	R	23		Lucky 2 | When your build step starts, you may add 1 counter to your Resource. | Remove a counter from your Resource -> Look at your opponent's hand.	
Talon Karrde (B)	SMUG	SMUG071_Talon_Karrde_B	N	Character	Independent Smuggler - Spy	5	40	3	5	C	71		Lucky 1 | When you deploy Talon, you may search your deck for a Vornskr unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.	
Vilmarh Grahrk (B)	SMUG	SMUG073_Vilmarh_Grahrk_B	N	Character	Devaronian Smuggler - Gambler	6	50	4	4	C	73		Lucky 2 | When your build step starts, you may roll a die. If you roll a 4 or more, draw a card and you may choose a player. If you do, the chosen player discards a card from his or her hand.	
Cargo Hauler	SMUG	SMUG053_Cargo_Hauler	N	Ground	Smuggler Speeder	4	40	2	4	C	53		[Tap] -> Search your deck for a Device Equipment card, show it to your opponent and put it into your hand. Shuffle your deck. Play only during your build step.	
Dash's Snowspeeder (A)	SMUG	SMUG005_Dash_s_Snowspeeder_A	L	Ground	Rebel Arctic Smuggler Speeder	3	60	2	3	R	5		Upkeep: Pay 1 build point or tap Dash's Snowspeeder. | Lucky 1 | Double Strike	
Dash's Snowspeeder (B)	SMUG	SMUG055_Dash_s_Snowspeeder_B	L	Ground	Rebel Arctic Smuggler Speeder	4	50	3	3	C	55		Accuracy 1 | When you deploy Dash's Snowspeeder, gain 1 build point.	
Renegade Squadron (E)	SMUG	SMUG065_Renegade_Squadron_E	L	Ground	Rebel Smuggler Squad	6	50	5	5	C	65		Lucky 1 | Each Dark Side unit gets -2 power when attacking Renegade Squadron.	
Renegade Squadron (C)	SMUG	SMUG042_Renegade_Squadron_C	L	Ground	Rebel Smuggler Squad	6	50	5	5	U	42		As long as Col Serra is in any arena, Renegade Squadron gets Accuracy 1 and Overkill. | Pay 2 Force -> Deflect 1	
Smuggler Outpost	SMUG	SMUG045_Smuggler_Outpost	N	Ground	Smuggler Fortification	8	10	5	9	U	45		[Tap] -> Search your deck for a Smuggler unit card, show it to your opponent and put it into your hand. Shuffle your deck. Play only during your build step.	
Smuggler's Swoop	SMUG	SMUG069_Smuggler_s_Swoop	N	Ground	Tatooine Smuggler Speeder	3	50	3	2	C	69		Lucky 1	
Distant Rainbow (A)	SMUG	SMUG030_Distant_Rainbow_A	N	Space	Smuggler Transport	5	50	4	4	U	30		Bounty: Gain 1 build point. | Critical Hit 1	
Ebon Hawk (A)	SMUG	SMUG006_Ebon_Hawk_A	N	Space	Smuggler Transport	5	50	3	4	R	6		Accuracy 1 | Pay 1 build point -> Ebon Hawk gets +1 power and Critical Hit 1 until end of game. Play only during your build step and only if this is the only card in the Ebon Hawk's stack. | Pay 1 Force -> Evade 1	
Errant Venture (A)	SMUG	SMUG007_Errant_Venture_A	N	Space	Smuggler Capital Ship	9	30	8	7	R	7		Armor | Whenever one of your other Smugglers would be damaged, you may prevent up to 2 of that damage. If you do, put 1 damage counter on the Errant Venture.	
Errant Venture (B)	SMUG	SMUG031_Errant_Venture_B	N	Space	Smuggler Capital Ship	8	30	7	7	U	31		Armor | Pay 1 build point -> Remove all build counters from a partially built card in your build zone and return that card to your hand. Gain that many build points this turn. Play only during your build step.	
Errant Venture (C)	SMUG	SMUG057_Errant_Venture_C	N	Space	Smuggler Capital Ship	6	30	5	6	C	57		Armor | Shields 1	
Millennium Falcon (O)	SMUG	SMUG016_Millennium_Falcon_O	N	Space	Smuggler Transport	7	60	5	4	R	16		The Millennium Falcon can have an extra Pilot. | Critical Hit 1 | Shields 1 | Pay 2 Force -> Evade 2	
Millennium Falcon (P)	SMUG	SMUG039_Millennium_Falcon_P	N	Space	Independent Transport	6	50	5	5	U	39		Accuracy 1 | Shields 1 | INSERT: Treat the Millenium Falcon as a Smuggler.	
Preybird-Class Starfigher	SMUG	SMUG064_Preybird_Class_Starfighter	N	Space	Smuggler Starfighter	4	50	3	3	C	64		Shields 1 | Stun 2	
Renegade Squadron (B)	SMUG	SMUG017_Renegade_Squadron_B	L	Space	Rebel Smuggler Squadron	7	50	6	6	R	17		Whenever Renegade Squadron damages one of your opponent�s units (after damage prevention), that unit doesn�t untap during your opponent's next untap step unless he os she pays 2 Force.	
Renegade Squadron (D)	SMUG	SMUG043_Renegade_Squadron_D	L	Space	Rebel Smuggler Squadron	6	40	5	5	U	43		Critical Hit 1 | Renegade Squadron can be piloted by any Bounty Hunter, Pirate, or Smuggler, and gets any ability text granted by that Bounty Hunter, Pirate or Smuggler as if it is a unit that Bounty Hunter, Pirate, or Smuggler can pilot	
Smugglers' Alliance Scyk Fighter	SMUG	SMUG070_Smugglers_Alliance_Scyk_Fighter	N	Space	Smuggler Starfighter	3	60	2	2	C	70		Accuracy 1 | When you deploy this unit, you may search your deck for up to 3 cards with "Smuggler�s Alliance Scyk Fighter" in their names. If you do, show them to your opponent and put them into your hand. Shuffle your deck.	
Vanguard (A)	SMUG	SMUG049_Vanguard_A	N	Space	Smuggler Transport	6	50	4	5	U	49		Accuracy 1 | Critical Hit 1 | Shields 1	
Wild Karrde (A)	SMUG	SMUG024_Wilde_Karrde_A	N	Space	Independent Smuggler Transport	6	30	4	4	R	24		Critical Hit 1 | Armor |  Pay 1 build point -> Roll a die. If you roll 3 or less, you may draw a card. If you roll a 4 or more, whenever Wild Karrde would be damaged by an attacking unit this turn, prevent up to 2 of that damage. Play only during your build step.	
Outrider (E)	SMUG	SMUG041_Outrider_E	N	Space/Ground	Smuggler Transport	6	50	5	5	U	41		Switch: Accuracy 1/+10 speed | Upkeep: Pay 1 build point, discard a card from your hand, or tap the Outrider. | When the battle phase starts, you may remove 1 damage counter from the Outrider or one of your units with "Dash" in its name.	
Vornskr	SMUG	SMUG074_Vornskr	N	Ground/Character	Vornskr Creature	4	40	3	3	C	74		Switch: +1 power/+10 speed, Critical Hit 1 | This unit gets Accuracy 1 when attacking a Force Sensitive, Jedi or Sith.	
Myrkr	SMUG	SMUG040_Myrkr	N	Location	Space - Myrkr Star System	2				U	40		When you complete this Location, you may draw a card. | Each unit lose Accuracy, Critical Hit and Lucky.	
Sabacc Parlor	SMUG	SMUG044_Sabacc_Parlor	N	Location	Character - Gambler Facility	2				U	44		When your build step starts, each player shuffles his or her deck and reveals the top card from his or her deck. If your revealed card has a higher printed build cost than your opponent's revealed card, gain 1 build point and 2 Force, and draw a card. Each player puts his or her revealed card on the bottom of his or her deck.	
Smuggler's Canyon	SMUG	SMUG047_Smuggler_s_Canyon	N	Location	Ground - Gall Landscape	2				U	47		Whenever you roll 1 or more dice for a card effect, you may choose one of those dice. If you do, roll another die and choose which result to use for that effect.	
Smuggler's Bluff	SMUG	SMUG019_Smuggler_s_Bluff	N	Mission		1				R	19		Choose a card type. Then reveal the top card from your deck. If the revealed card is of the chosen type, your opponent loses 2 build points when his or her next build step starts. Then put the revealed card into your hand.	
Gambler's Fate	SMUG	SMUG009_Gambler_s_Fate	N	Mission		1				R	9		Roll 2 dice. If their total is 10 or more, set aside the cards in your opponent's hand face up. Choose one of those cards and discard it. Then your opponent chooses one of those cards and puts it into his or her hand. Repeat until no cards remain set aside. | Enhance: If there is at least 2 extra build counters on Gambler's Fate, roll 3 dice instead.	
Gambler's Instincts	SMUG	SMUG058_Gambler_s_Instincts	N	Mission		1				C	58		Roll 2 dice. If their total is 10 or more, draw cards until you have 7 cards in your hand. | Enhance: If there is at least 1 more build counter on Gambler's Instinct, roll 3 dice instead.	
Gambler's Resolve	SMUG	SMUG033_Gambler_s_Resolve	N	Mission		2				U	33		Roll 2 dice. If their total is 10 or more, do 6 damage divided as you choose between 2 of your opponent�s units in the same arena with at least 1 damage to each of them. | Enhance: If there are at least 2 more build counters on Gambler's Resolve, roll 3 dice instead.	
Han's Rescue	SMUG	SMUG036_Han_s_Rescue	N	Mission		2				U	36		Choose a card type. Then reveal the top card of your deck. If that card is of the chosen type, put it into your hand, and search your deck for any 2 cards and put them into your hand. Shuffle your deck.	
Run the Blockade	SMUG	SMUG067_Run_the_Blockade	N	Mission		2				C	67		Choose a card type. Then draw a card and reveal it to your opponent. If that card is of the chosen type, gain 3 build points.	
Smuggler's Guile	SMUG	SMUG020_Smuggler_s_Guile	N	Battle		1				R	20		Pay 5 Force -> Remove up to 3 damage counters from one of your Smugglers. Play only when no unit is attacking. | Enhance: Pay 1 more Force -> Also, if that Smuggler has printed power 6 or less, untap it.	
Gas Assault	SMUG	SMUG059_Gas_Assault	N	Mission		3				C	59		Choose an arena. This turn, each of your opponent's non-Droid units in the chosen arena gets -X power, where X is equal to that unit's printed health.	
Barricade	SMUG	SMUG026_Barricade	N	Battle						U	26		Pay 4 Force -> Choose an arena and roll a die. If you roll 4 or less, tap one of your opponent�s units in the chosen arena. If you roll a 5 or 6, tap up to two of your opponent's units in the chosen arena instead. Play only before any unit attacks in the chosen arena.	
Cut Off Their Supplies	SMUG	SMUG028_Cut_Off_Their_Supplies	N	Battle						U	28		Pay 3 Force -> Disrupt a Resource effect. That effect can't be activated next turn. | Enhance: Pay 4 more Force -> Also, discard your opponent's Resource. Play only when no unit  is attacking.	
Elude Authority	SMUG	SMUG056_Elude_Authority	N	Battle						C	56		Choose one: Pay 1 Force -> The attacking unit gets -6 power until end of turn. Play only if damage from that unit can't be prevented. Or:  Pay 3 Force -> The attacking unit gets -6 power for this attack. Play only if you have an Independent unit or Smuggler in any arena.	
Lost in the Crowd	SMUG	SMUG063_Lost_in_the_Crowd	N	Battle						C	62		Pay 3 Force -> Disrupt an attack. Play only if the defending unit is a Smuggler or has printed health 4 or less	
Shock	SMUG	SMUG068_Shock	N	Battle						C	68		Choose one: Pay 1 Force -> One of your units with 1 or more Equipment attached gets Stun 2 until end of turn. | Or: Pay 1 Force -> One of your opponent's units with 1 or more Equipment attached gets -4 power until end of turn.	
Stun Cuffs	SMUG	SMUG022_Stun_Cuffs	N	Equipment - Character - Device		1				R	22		You may attach Stun Cuffs to your opponent's Characters. | Pay 2 build points-> Equip | Equipped Character loses each of its abilities except Upkeep and gets "Tap one of your other Characters -> Detach a Stun Cuffs from this unit when the battle phase ends."	
Weapons Malfunction	SMUG	SMUG050_Weapons_Malfunction	N	Battle						U	50		Pay 4 Force -> Tap and do 3 damage to one of your opponent's units with 1 or more Equipment attached. Then detach an Equipment from it. Play only when no unit is attacking.	
Body Armor	SMUG	SMUG051_Body_Armor	N	Equipment	Character - Armor Defense	2				C	51		Pay 1 build point, 1 Force - > Equip | Equipped Character gets +1 health and Armor.	
Fusion Cutter	SMUG	SMUG032_Fusion_Cutter	N	Equipment	Character - Device	0				U	32		Pay 2 Force - Equip | Equipped Character gets the Mechanic subtype and �Pay X build points -> Remove X damage counters from one of your Space units, Ground units or Droids. Play only during your build step.�	
Gambling	SMUG	SMUG034_Gambling	N	Equipment	Space/Ground/Character - Skill	1				U	34		Pay 1 build point -> Equip | Equipped Gambler or Smuggler gets �When each turn starts, you and your opponent each guess a different total result of rolling 2 dice. Then roll 2 dice. The one who guesses closer gains 1 build point and 2 Force, and draws a card. The other loses 1 build point, and 2 Force, and discards a card from his or her hand."	
Han Solo's DL-44 Blaster (B)	SMUG	SMUG035_Han_Solo_s_DL_44_Blaster_B	N	Equipment	Character - Blaster Weapon	1				U	35		Discard a card from your hand -> Equip | Equipped Han Solo gets �When the Character battle step starts, you may have Han attack first."	
Illegal Goods	SMUG	SMUG037_Illegal_Goods	N	Equipment	Space/Ground/Character - Device	1				U	37		Pay 1 build point, 1 Force -> Equip | Equipped unit may only have one Illegal Goods attached to it. | Equipped Smuggler gets �When the roll for build points is made, gain 1 build point.� and "When this unit is discarded, shuffle any Illegal Goods attached to this unit into your deck."	
Lando Calrissian�s DL-44 Blaster Pistol (A)	SMUG	SMUG012_Lando_Calrissian_L	N	Equipment	Character - Blaster Weapon	1				R	13		Pay 1 build point, 1 Force -> Equip | Equipped Character gets Lucky 2. | Equipped Lando Calrissian also gets �Whenever Lando does X damage to a unit (after damage prevention), roll a die. If you roll a 5 or 6, draw X cards.�	
